planning_area,total,no_working_person,sgd_0_to_5000,sgd_5000_to_10000,sgd_10000_to_15000,sgd_15000_above
Bedok,97553,16818,22888,20295,12998,24554
Bukit Timah,24612,3846,1943,2730,2568,13525
Bukit Batok,54298,5983,13542,13822,8809,12142
Bukit Merah,59701,12444,15764,10598,7993,12902
Downtown Core,1546,175,147,209,211,804
Woodlands,78842,7133,19858,25060,14534,12257
Marine Parade,17070,3552,3005,2492,1817,6204
Pasir Ris,44799,3702,6652,11109,9602,13734
Punggol,56166,3531,11860,15686,12065,13024
Queenstown,37054,7776,8496,6715,4953,9114
Sembawang,33051,2716,7721,9611,6779,6224
Tampines,83682,9631,18406,21440,15516,18689
Tanglin,7937,1210,518,762,717,4730
Bukit Panjang,43579,4389,9797,12192,7368,9833
Bishan,29444,4412,4649,5684,4445,10254
Ang Mo Kio,60218,11455,16764,13345,7686,10968
Geylang,42061,6991,11760,9423,5881,8006
Jurong East,27214,4256,6898,7052,4002,5006
Hougang,75111,8503,18285,19179,12561,16583
Jurong West,83877,8069,19841,24662,16339,14966
Choa Chu Kang,58024,4463,11676,16564,11808,13513
Kallang,40834,8433,10837,7441,5396,8727
Novena,18283,2848,3538,3179,2164,6554
Outram,8053,2194,2385,1205,864,1405
River Valley,3977,574,338,424,389,2252
Sengkang,79375,5621,16332,21965,16722,18735
Serangoon,38086,5318,6458,8148,5713,12449
Clementi,33609,5990,6936,6827,4741,9115
Toa Payoh,46880,10015,11766,9369,5861,9869
Yishun,75402,8698,20722,21411,13054,11517
